sample,batch,class,order
batch01_QC01,1,NA,1
batch01_QC02,1,NA,2
batch01_QC03,1,NA,3
batch01_C05,1,C,4
batch01_S07,1,S,5
batch01_C10,1,C,6
batch01_QC04,1,NA,7
batch01_S01,1,S,8
batch01_C03,1,C,9
batch01_S05,1,S,10
batch01_C07,1,C,11
batch01_S06,1,S,12
batch01_QC05,1,NA,13
batch01_C08,1,C,14
batch01_C06,1,C,15
batch01_S02,1,S,16
batch01_S09,1,S,17
batch01_QC06,1,NA,18
batch01_S04,1,S,19
batch01_C04,1,C,20
batch01_S10,1,S,21
batch01_C09,1,C,22
batch01_QC07,1,NA,23
batch02_C05,1,C,24
batch02_S03,1,S,25
batch02_S07,1,S,26
batch02_C01,1,C,27
batch02_C10,1,C,28
batch02_QC08,1,NA,29
batch02_S01,1,S,30
batch02_C03,1,C,31
batch02_S05,1,S,32
batch02_C07,1,C,33
batch02_S06,1,S,34
batch02_QC09,1,NA,35
batch02_C08,1,C,36
batch02_C06,1,C,37
batch02_S02,1,S,38
batch02_S09,1,S,39
batch02_C02,1,C,40
batch02_QC10,1,NA,41
batch02_S04,1,S,42
batch02_S08,1,S,43
batch02_C04,1,C,44
batch02_S10,1,S,45
batch02_C09,1,C,46
batch02_QC11,1,NA,47
batch03_C05,1,C,48
batch03_S03,1,S,49
batch03_S07,1,S,50
batch03_C01,1,C,51
batch03_C10,1,C,52
batch03_QC12,1,NA,53
batch03_S01,1,S,54
batch03_C03,1,C,55
batch03_S05,1,S,56
batch03_C07,1,C,57
batch03_S06,1,S,58
batch03_QC13,1,NA,59
batch03_C08,1,C,60
batch03_C06,1,C,61
batch03_S02,1,S,62
batch03_S09,1,S,63
batch03_C02,1,C,64
batch03_QC14,1,NA,65
batch03_S04,1,S,66
batch03_S08,1,S,67
batch03_C04,1,C,68
batch03_S10,1,S,69
batch03_C09,1,C,70
batch03_QC15,1,NA,71
batch04_C05,1,C,72
batch04_S03,1,S,73
batch04_S07,1,S,74
batch04_C01,1,C,75
batch04_QC16,1,NA,76
batch04_S01,1,S,77
batch04_S05,1,S,78
batch04_C07,1,C,79
batch04_S06,1,S,80
batch04_QC17,1,NA,81
batch04_C08,1,C,82
batch04_C06,1,C,83
batch04_S02,1,S,84
batch04_S09,1,S,85
batch04_C02,1,C,86
batch04_QC18,1,NA,87
batch04_S08,1,S,88
batch04_C04,1,C,89
batch04_S10,1,S,90
batch04_QC19,1,NA,91
batch05_QC20,2,NA,92
batch05_S03,2,S,93
batch05_S07,2,S,94
batch05_C01,2,C,95
batch05_C10,2,C,96
batch05_QC21,2,NA,97
batch05_S01,2,S,98
batch05_C03,2,C,99
batch05_C07,2,C,100
batch05_QC22,2,NA,101
batch05_C06,2,C,102
batch05_C02,2,C,103
batch05_QC23,2,NA,104
batch05_S04,2,S,105
batch05_S08,2,S,106
batch05_C04,2,C,107
batch05_QC24,2,NA,108
batch06_QC25,3,NA,109
batch06_S03,3,S,110
batch06_C10,3,C,111
batch06_QC26,3,NA,112
batch06_S01,3,S,113
batch06_C03,3,C,114
batch06_S05,3,S,115
batch06_C07,3,C,116
batch06_S06,3,S,117
batch06_QC27,3,NA,118
batch06_C08,3,C,119
batch06_C06,3,C,120
batch06_S02,3,S,121
batch06_C02,3,C,122
batch06_QC28,3,NA,123
batch06_S04,3,S,124
batch06_S08,3,S,125
batch06_C04,3,C,126
batch06_C09,3,C,127
batch06_QC29,3,NA,128
batch07_QC30,4,NA,129
batch07_C05,4,C,130
batch07_S03,4,S,131
batch07_S07,4,S,132
batch07_C01,4,C,133
batch07_C10,4,C,134
batch07_QC31,4,NA,135
batch07_C03,4,C,136
batch07_S05,4,S,137
batch07_C07,4,C,138
batch07_S06,4,S,139
batch07_QC32,4,NA,140
batch07_C08,4,C,141
batch07_S02,4,S,142
batch07_S09,4,S,143
batch07_C02,4,C,144
batch07_QC33,4,NA,145
batch07_S04,4,S,146
batch07_S08,4,S,147
batch07_S10,4,S,148
batch07_C09,4,C,149
batch07_QC34,4,NA,150
batch08_C05,4,C,151
batch08_S03,4,S,152
batch08_S07,4,S,153
batch08_C01,4,C,154
batch08_C10,4,C,155
batch08_QC36,4,NA,156
batch08_S01,4,S,157
batch08_C03,4,C,158
batch08_S05,4,S,159
batch08_C07,4,C,160
batch08_S06,4,S,161
batch08_QC37,4,NA,162
batch08_C08,4,C,163
batch08_S02,4,S,164
batch08_S09,4,S,165
batch08_QC38,4,NA,166
batch08_S04,4,S,167
batch08_S08,4,S,168
batch08_C04,4,C,169
batch08_S10,4,S,170
batch08_C09,4,C,171
batch08_QC39,4,NA,172
